ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
992105-992106,836627.047,824950.9593,22.363712698,114.180360375
992106-992107,836627.047,824950.9593,22.363712698,114.180360375
992107-991036,836612.2475,824937.5317,22.363591442,114.180216683
992108-993014,836370.1951,824731.2788,22.361728898,114.177866575
992109-992110,836197.2106,824554.3869,22.360131469,114.176187094
992110-991037,836183.6178,824539.7161,22.359998983,114.176055125
992111-992112,835928.3868,824354.9785,22.35833067,114.173577182
992112-992113,835928.3868,824354.9785,22.35833067,114.173577182
992113-991038,835912.9395,824342.2889,22.358216073,114.173427212
992114-993015,835894.2349,824187.3438,22.356816829,114.173245651
992115-993016,836738.5515,823043.6365,22.346488487,114.181442409
992116-991039,836744.4697,823024.51,22.346315763,114.181499856
992117-992118,836410.8136,826421.8115,22.376995316,114.178261092
992118-991040,836391.9839,826415.0704,22.376934442,114.178078256
992119-992120,836076.4215,825922.0151,22.372481884,114.175014217
992120-992121,836069.6027,825903.2134,22.372312094,114.174948012
992121-991041,836062.4749,825884.5289,22.372143363,114.174878806
992122-993013,835731.7104,825360.6228,22.367412138,114.171667382
992123-992124,835705.5282,825338.7353,22.367214473,114.171413179
992124-991042,835690.2532,825325.825,22.367097881,114.171264874
992125-993017,834821.9649,824311.3009,22.357935665,114.162835343
992126-992127,832966.4794,822755.2031,22.343880674,114.14482432
992127-991043,832952.4088,822740.9898,22.343752293,114.144687757
992128-992129,836291.3997,826761.9382,22.380066846,114.177101594
992129-991044,836277.2082,826776.0309,22.380194111,114.176963792
992130-992131,835463.0772,826895.996,22.381277272,114.169058373
992131-992132,835443.7725,826890.7694,22.381230064,114.168870922
992132-991045,835424.401,826885.7949,22.381185132,114.168682823
992133-992134,835304.1506,826854.9632,22.380906643,114.16751518
992134-992135,835284.7557,826850.0807,22.38086254,114.167326854
992135-991046,835265.3781,826845.1303,22.380817825,114.167138697
992136-993019,835129.9142,826809.3339,22.38049448,114.165823337
992137-992138,832401.9462,826810.8515,22.380504214,114.13933422
992138-991047,832387.5607,826824.746,22.380629656,114.1391945
992139-993021,823225.0754,834996.5499,22.454379667,114.050158049
992140-992142,823206.885,834965.2862,22.454097204,114.049981581
992141-992143,823201.4071,834969.0213,22.454130892,114.049928331
992142-991049,823196.1382,834948.4203,22.453944816,114.049877311
992143-991050,823188.3683,834953.8558,22.453993841,114.04980178
992144-992164,823004.7494,834417.2961,22.449147065,114.048022345
992145-992146,823128.7596,834147.7907,22.446714273,114.049229325
992146-992147,823135.6781,834129.0254,22.446544868,114.049296692
992147-991051,823142.5967,834110.2602,22.446375463,114.049364059
992148-992149,823647.792,833453.1641,22.4404454,114.054277122
992149-992150,823663.0466,833440.23,22.440328712,114.054425413
992150-991052,823678.326,833427.3258,22.440212294,114.054573944
992151-992152,824224.506,832970.5843,22.436091646,114.059883174
992152-992153,824224.506,832970.5843,22.436091646,114.059883174
992153-991053,824237.745,832955.5954,22.435956383,114.060011892
992154-992155,824678.5428,831578.9245,22.423527461,114.064303839
992155-992156,824678.5428,831578.9245,22.423527461,114.064303839
992156-991054,824679.2237,831558.9361,22.423346961,114.064310599
992157-992158,824495.6324,830459.6222,22.413418392,114.062535471
992158-992159,824495.6324,830459.6222,22.413418392,114.062535471
992159-991055,824486.8414,830441.658,22.413256107,114.062450222
992160-993022,824236.8595,829891.4274,22.408285527,114.060026438
992161-992162,825145.491,826154.8559,22.374548563,114.068877217
992162-991056,825161.5023,826142.8711,22.374440437,114.069032767
992163-993024,825667.9161,825795.6446,22.371308002,114.07395223
992164-992165,822987.6478,834406.9401,22.449053414,114.047856291
992165-991057,822969.5934,834398.4122,22.448976263,114.047680965
992166-992167,822196.8346,834147.5226,22.446704441,114.040175883
992167-992168,822186.2266,834130.584,22.446551391,114.040072979
992168-991058,822177.0044,834112.8398,22.446391077,114.039983545
992169-992170,821776.8185,833020.3738,22.436522296,114.036105789
992170-992171,821776.8185,833020.3738,22.436522296,114.036105789
992171-991059,821762.1539,833006.7741,22.43639936,114.03596346
992172-992173,820946.0188,832769.3458,22.434248169,114.028037766
992173-992174,820926.3911,832773.1865,22.434282676,114.027847067
992174-991060,820906.7252,832776.8246,22.434315353,114.027656
992175-992176,819794.9057,833075.5778,22.437002885,114.016852798
992176-992177,819777.2144,833084.9062,22.437086954,114.016680847
992177-991061,819759.5232,833094.2347,22.437171024,114.016508896
992178-992179,818924.7289,833066.6428,22.436913602,114.008399922
