ID,Easting,Northing,Latitude(DDD.DDDDD),Longitude(DDD.DDDDD)
992048-993005,838603.3507,828368.5505,22.394573794,114.199553389
992049-992050,837967.6535,827739.9205,22.388897691,114.193379349
992050-991018,837953.2086,827726.0877,22.388772788,114.193239063
992051-992052,837924.3189,827698.4222,22.388522983,114.192958493
992052-992053,837617.5422,827331.1935,22.385206986,114.189979147
992053-991019,837606.0718,827314.8096,22.38505904,114.18986775
992054-993006,837582.6504,827282.3892,22.384766285,114.189640289
992055-992056,837284.5188,826868.7598,22.381031198,114.186745019
992056-991020,837274.0175,826851.7385,22.380877493,114.186643038
992057-993007,837254.1195,826817.052,22.380564268,114.186449802
992058-992059,838522.8731,828072.4826,22.391900257,114.198771438
992059-991021,838519.6815,828052.7404,22.391721979,114.198740416
992060-992061,838517.0735,828012.8675,22.39136191,114.198715034
992061-992062,838811.9864,827196.9584,22.383993415,114.201577616
992062-991022,838806.9281,827177.6087,22.383818685,114.201528467
992063-992064,838797.0151,827138.857,22.383468751,114.201432146
992064-992065,838734.9603,826894.7221,22.381264176,114.20082919
992065-991023,838729.0773,826875.6069,22.381091564,114.200772036
992066-993011,838716.5506,826837.619,22.380748531,114.20065034
992067-992068,838092.899,826104.139,22.374125596,114.194593706
992068-991024,838073.5864,826098.9424,22.374078689,114.19440618
992069-992095,838035.007,826088.3828,22.37398337,114.194031572
992070-992071,838276.0978,826664.7014,22.379187567,114.196373229
992071-991025,838259.2138,826675.422,22.3792844,114.196209297
992072-993009,838226.7133,826698.7152,22.379494787,114.195893742
992073-992074,837690.6981,827173.3496,22.383781514,114.190689389
992074-991026,837675.7141,827186.5961,22.383901149,114.190543899
992075-993006,837644.8515,827211.9955,22.384130544,114.190244232
992076-992077,839448.079,826816.7108,22.380558518,114.207753598
992077-991027,839431.7223,826805.2018,22.380454616,114.207594748
992078-993010,839398.8817,826782.3659,22.380248456,114.207275815
992079-992081,838983.7408,826510.2715,22.377792008,114.203244257
992080-992082,838981.1794,826517.1703,22.377854312,114.203219397
992081-991028,838964.8577,826503.6851,22.377732559,114.203060891
992082-991029,838962.0515,826511.3344,22.377801641,114.203033655
992083-992070,838926.5662,826492.1503,22.377628454,114.202689061
992084-993011,838923.395,826501.0864,22.377709156,114.202658283
992085-991030,836656.0799,825210.9778,22.3660608,114.18064232
992086-992087,836659.2815,825250.7689,22.366420134,114.180673415
992087-993012,836662.3902,825270.5251,22.366598543,114.180703603
992088-992089,836236.747,825639.1953,22.36992788,114.176570926
992089-991031,836220.8845,825627.0439,22.369818146,114.17641691
992090-993013,836192.2695,825599.0966,22.369565766,114.176139075
992091-992092,837337.3622,826343.4255,22.37628712,114.187257787
992092-991032,837360.8479,826311.0536,22.375994769,114.187485809
992093-992094,837373.0467,826295.2047,22.375851638,114.187604247
992094-992096,837491.5723,825684.0085,22.370332128,114.188754646
992095-992097,837502.1187,825702.8392,22.370502172,114.188857061
992096-991033,837491.5723,825684.0085,22.370332128,114.188754646
992097-991033,837488.4721,825688.2251,22.370370209,114.188724548
992098-992099,837459.0037,825661.2902,22.370126993,114.188438404
992099-992100,837214.8505,825311.9805,22.36697269,114.186067595
992100-991034,837199.7423,825298.8755,22.366854353,114.185920898
992101-992102,837184.6222,825285.7842,22.36673614,114.185774086
992102-992103,836864.8479,825096.5262,22.365027179,114.182669247
992103-991035,836847.0874,825087.3325,22.364944161,114.182496805
992104-992085,836818.4768,825061.2293,22.364708445,114.182219012
992105-992106,836811.8545,825068.3982,22.364773186,114.182154718
992106-992107,836612.2475,824937.5317,22.363591442,114.180216683
992107-991036,836598.4275,824923.0784,22.363460924,114.180082501
992108-993014,836585.425,824907.8819,22.363323694,114.179956256
992109-992110,836210.8785,824568.9879,22.360263325,114.176319792
992110-991037,836197.2106,824554.3869,22.360131469,114.176187094
992111-992112,836170.017,824525.0533,22.359866569,114.175923078
992112-992113,835912.9395,824342.2889,22.358216073,114.173427212
992113-991038,835900.1843,824326.9328,22.358077396,114.17330338
992114-993015,835890.0467,824309.764,22.35792235,114.173204961
992115-993016,836740.3734,823038.7661,22.346444504,114.181460094
992116-991039,836746.3219,823004.6312,22.346136245,114.181517831
992117-992118,836429.6433,826428.5526,22.37705619,114.178443928
992118-991040,836410.8136,826421.8115,22.376995316,114.178261092
992119-992120,836373.0522,826408.6212,22.376876204,114.177894429
992120-992121,836076.4215,825922.0151,22.372481884,114.175014217
992121-991041,836069.6027,825903.2134,22.372312094,114.174948012
992122-993013,836055.1085,825865.9349,22.371975448,114.174807283
992123-992124,835720.8031,825351.6455,22.367331064,114.171561483
992124-991042,835705.5282,825338.7353,22.367214473,114.171413179
992125-993017,835674.5113,825313.493,22.366986511,114.171112037
992126-992127,832980.8479,822769.1088,22.344006278,114.144963776
992127-991043,832966.4794,822755.2031,22.343880674,114.14482432
992128-992129,836305.5911,826747.8456,22.379939582,114.177239394
992129-991044,836291.3997,826761.9382,22.380066846,114.177101594
992130-992131,836262.9832,826790.0885,22.380321059,114.176825665
992131-992132,835463.0772,826895.996,22.381277272,114.169058373
992132-991045,835443.7725,826890.7694,22.381230064,114.168870922
992133-992134,835404.9662,826881.0739,22.38114249,114.168494109
992134-992135,835304.1506,826854.9632,22.380906643,114.16751518
992135-991046,835284.7557,826850.0807,22.38086254,114.167326854
992136-993019,835246.0144,826840.1255,22.380772617,114.166950674
992137-992138,832416.3317,826796.9569,22.38037877,114.139473939
992138-991047,832401.9462,826810.8515,22.380504214,114.13933422
992139-993021,823587.3091,836053.8705,22.463930438,114.053668827
992140-992142,823196.1382,834948.4203,22.453944816,114.049877311
992141-992143,823188.3683,834953.8558,22.453993841,114.04980178
992142-991049,823185.5732,834931.4385,22.453791382,114.049774809
992143-991050,823176.8556,834937.502,22.453846071,114.049690065
992144-992164,823175.8512,834913.9605,22.453633474,114.049680501
992145-992146,823165.6758,834920.9233,22.453696273,114.049581587
992146-992147,823128.7596,834147.7907,22.446714273,114.049229325
